# Khong et al. yeast stress granule transcriptome, Table S2
# Changed #DIV/0! and NS values to NA
#gene_ID	gene_name	avReads(SG)	avReads(Total)	FC(SG/tot)	p-value	SG classification	length	5prime UTR length	ORF length	3primeUTR length	codon optimality	initiation rate	ribosome density	class (Chartron et al. )	t1/2 (Neymotin et al.)	fraction GC content
ORF	gene	avReads.sg	avReads.total	foldchange.sg.total	p.value	sg.classification	length	length.utr5	length.orf	length.utr3	codon.optimality	initiation.rate	ribosome.density	class.chartron	halflife.min	fraction.gc
YOR178C	GAC1	2158.988041	663.3639772	3.254605488	NA	neither	2508	0	2382	126	0.438287154	NA	NA	Exception	8.8	0.378
YHR139C-A	YHR139C-A	21.38305334	6.575753804	3.251802603	NA	neither	312	0	312	0	NA	NA	NA	NA	NA	NA
YLR349W	YLR349W	32.36993003	9.966623347	3.247833183	NA	neither	507	0	507	0	NA	NA	NA	NA	NA	NA
YDL037C	BSC1	1504.06049	463.3114153	3.246327287	NA	neither	1679	179	987	513	0.553191489	NA	NA	Cytonuclear	0.9	0.399
YDR187C	YDR187C	24.6494471	7.597442924	3.244439918	NA	neither	519	0	519	0	NA	NA	NA	NA	NA	NA
YLR341W	SPO77	125.9695375	39.1796888	3.215174529	NA	neither	1434	0	1434	0	0.441422594	NA	NA	Cytonuclear	NA	0.341333333
YAL056C-A	YAL056C-A	30.03259095	9.396327585	3.196205185	NA	neither	351	0	351	0	NA	NA	NA	NA	NA	NA
YIL086C	YIL086C	112.9156092	35.53862402	3.177264519	NA	neither	309	0	309	0	NA	NA	NA	NA	22.4	NA
YNR071C	YNR071C	266.5476639	83.99334442	3.173437916	NA	neither	1029	0	1029	0	0.56851312	NA	NA	Cytonuclear	16	0.418
YDL186W	YDL186W	39.95530978	12.61451046	3.167408669	NA	neither	834	0	834	0	0.446043165	NA	NA	Cytonuclear	NA	0.438666667
YLR122C	YLR122C	46.21791887	14.67784608	3.148821607	NA	neither	424	0	378	46	NA	NA	NA	NA	7.1	NA
YCL023C	YCL023C	13.88034346	4.425863583	3.136188722	NA	neither	348	0	348	0	NA	NA	NA	NA	NA	NA
YCR047W-A	YCR047W-A	78.84094513	25.20332557	3.128196115	NA	neither	207	0	207	0	NA	NA	NA	NA	NA	NA
YGL261C	PAU11	24.75189978	7.921379804	3.124695494	NA	neither	363	0	363	0	0.818181818	NA	NA	SS	NA	0.493333333
YML031C-A	YML031C-A	3.697417065	1.187195055	3.114414138	NA	neither	336	0	336	0	NA	NA	NA	NA	NA	NA
YBL006W-A	YBL006W-A	36.09749635	11.60665453	3.110068991	NA	neither	150	0	150	0	NA	NA	NA	NA	NA	NA
YOL013W-B	YOL013W-B	20.56172179	6.629538071	3.101531595	NA	neither	291	0	291	0	NA	NA	NA	NA	NA	NA
YFL020C	PAU5	435.1125266	140.5816598	3.095087418	NA	neither	369	0	369	0	0.780487805	NA	NA	SS	NA	0.460666667
YOR029W	YOR029W	10.27053962	3.339478855	3.075491736	NA	neither	336	0	336	0	NA	NA	NA	NA	NA	NA
YGR204C-A	YGR204C-A	28.110766	9.150919509	3.07190616	NA	neither	114	0	114	0	0.421052632	NA	NA	Exception	NA	0.368333333
YJR128W	YJR128W	40.93804069	13.53964813	3.023567547	NA	neither	360	0	360	0	NA	NA	NA	NA	NA	NA
YKL031W	YKL031W	69.39000205	23.03917962	3.01182608	NA	neither	414	0	414	0	NA	NA	NA	NA	8.3	NA
YAR030C	YAR030C	217.253274	72.35620739	3.002551983	NA	neither	342	0	342	0	NA	NA	NA	NA	7.9	NA
YJL152W	YJL152W	34.72772165	11.63995314	2.983493251	NA	neither	360	0	360	0	NA	NA	NA	NA	6.4	NA
YDL114W	YDL114W	122.098411	41.14263662	2.967685618	NA	neither	1011	0	927	84	0.391585761	NA	NA	Cytonuclear	NA	0.375333333
YLR334C	YLR334C	19.14168477	6.477759586	2.954985365	NA	neither	381	0	381	0	NA	NA	NA	NA	NA	NA
YNL028W	YNL028W	12.15170245	4.120018781	2.949428897	NA	neither	318	0	318	0	NA	NA	NA	NA	NA	NA
YBL065W	YBL065W	83.46780929	28.37772102	2.941314746	NA	neither	345	0	345	0	NA	NA	NA	NA	NA	NA
YLR462W	YLR462W	11.33796194	3.895518891	2.910513916	NA	neither	609	0	609	0	0.467980296	NA	NA	Cytonuclear	5.7	0.412333333
YKL097C	YKL097C	17.52322456	6.045409112	2.898600283	NA	neither	411	0	411	0	NA	NA	NA	NA	NA	NA
YAL065C	YAL065C	49.94164451	17.22971002	2.898577194	NA	neither	387	0	387	0	0.480620155	NA	NA	Exception	NA	0.441666667
YGL088W	YGL088W	143143.8053	49529.80787	2.890053715	NA	neither	551	22	366	163	NA	NA	NA	NA	NA	NA
YBL070C	YBL070C	17.12677059	5.933159167	2.886619102	NA	neither	321	0	321	0	NA	NA	NA	NA	NA	NA
YEL057C	YEL057C	488.4584685	170.2918408	2.868360963	NA	neither	782	0	702	80	0.474358974	NA	NA	Cytonuclear	NA	0.353333333
YMR082C	YMR082C	16.51509155	5.774305692	2.860099973	NA	neither	357	0	357	0	NA	NA	NA	NA	NA	NA
YMR251W	GTO3	563.6519472	198.4507999	2.840260394	NA	neither	1101	0	1101	0	0.438692098	NA	NA	Cytonuclear	7	0.468666667
YGR018C	YGR018C	107.1120078	37.99590757	2.819040646	NA	neither	528	105	330	93	0.481818182	NA	NA	Cytonuclear	7.3	NA
YMR151W	YIM2	108.1408301	38.54195076	2.805795451	NA	neither	438	0	438	0	NA	NA	NA	NA	32.4	NA
YBR196C-B	YBR196C-B	70.64288336	25.21152655	2.802007376	NA	neither	105	0	105	0	0.4	NA	NA	Exception	7.9	0.390333333
YNL057W	YNL057W	168.1429319	60.0452539	2.800270146	NA	neither	364	0	333	31	NA	NA	NA	NA	9.6	NA
YBR144C	YBR144C	10.74303803	3.85838393	2.784336194	NA	neither	315	0	315	0	NA	NA	NA	NA	NA	NA
YLR236C	YLR236C	44.7637393	16.09295484	2.78157366	NA	neither	324	0	324	0	NA	NA	NA	NA	NA	NA
YKR012C	YKR012C	188.834798	68.1871915	2.769358787	NA	neither	418	0	378	40	NA	NA	NA	NA	6.7	NA
YLR162W-A	RRT15	23.16613682	8.373195692	2.766701946	NA	neither	190	0	189	1	0.46031746	NA	NA	Cytonuclear	NA	0.402
YDL196W	YDL196W	95.3567064	34.69057238	2.748778698	NA	neither	330	0	330	0	NA	NA	NA	NA	NA	NA
YMR013W-A	YMR013W-A	1434.850406	523.0266725	2.743359911	NA	neither	189	30	81	78	NA	NA	NA	NA	NA	NA
YKR097W	PCK1	980.2206658	357.7737242	2.739778244	NA	neither	1707	0	1650	57	0.64	NA	NA	Cytonuclear	14.9	0.414333333
YHL046C	PAU13	11.50282196	4.203757272	2.736319254	NA	neither	392	0	363	29	0.842975207	NA	NA	SS	NA	0.498666667
YDR223W	CRF1	1025.331612	375.350214	2.731666519	NA	neither	1404	0	1404	0	0.358974359	NA	NA	Exception	11.8	0.402333333
YER090C-A	YER090C-A	15.63774134	5.725308583	2.731335982	NA	neither	90	0	90	0	NA	NA	NA	NA	NA	NA
YJR153W	PGU1	81.01823048	29.76713444	2.721734289	NA	neither	1086	0	1086	0	0.5	1.06657E-06	NA	SS	NA	0.409666667
YKL161C	KDX1	2709.718334	1000.995028	2.70702477	NA	neither	1566	243	1302	21	0.428571429	NA	0.0251	Cytonuclear	20.1	0.376333333
YEL075W-A	YEL075W-A	9.516041683	3.524027674	2.700331145	NA	neither	612	0	612	0	NA	2.86581E-05	NA	NA	NA	NA
YBL053W	YBL053W	48.61411115	18.0169024	2.698250235	NA	neither	375	0	375	0	NA	NA	NA	NA	NA	NA
YDR094W	YDR094W	5.689673358	2.126588456	2.67549339	NA	neither	336	0	336	0	NA	NA	NA	NA	NA	NA
YAR064W	YAR064W	1.848708532	0.691591746	2.673121163	NA	neither	300	0	300	0	0.4	1.9164E-05	NA	Exception	NA	0.48
YNL254C	RTC4	3219.544573	1204.508837	2.672910711	NA	neither	1353	74	1206	73	0.410447761	NA	0.5092	Cytonuclear	19.3	0.394666667
YDL022C-A	YDL022C-A	39.79582608	14.94426809	2.662949156	NA	neither	249	0	249	0	0.409638554	NA	NA	Cytonuclear	NA	NA
YGL182C	YGL182C	64.26443364	24.14365643	2.661752326	NA	neither	324	0	324	0	NA	NA	NA	NA	NA	NA
YMR323W	ERR3	392.9750723	148.0559052	2.654234371	NA	neither	1314	0	1314	0	0.534246575	NA	NA	Cytonuclear	NA	0.466666667
YDL162C	YDL162C	51.59328167	19.48519772	2.647819253	NA	neither	357	0	357	0	NA	NA	NA	NA	8.5	NA
YNL192W	CHS1	76113.55799	28750.56014	2.647376525	NA	neither	3617	117	3396	104	0.440812721	NA	0.633	Exception	6.6	0.368333333
YMR315W-A	YMR315W-A	76.2784911	28.84343954	2.644569868	NA	neither	108	0	108	0	0.472222222	NA	NA	SS	NA	0.481333333
YDR102C	YDR102C	87.62073605	33.38113054	2.624858255	NA	neither	333	0	333	0	NA	NA	NA	NA	3.3	NA
YPR076W	YPR076W	52.11738486	19.87562608	2.622175757	NA	neither	393	0	375	18	NA	NA	NA	NA	NA	NA
YLR465C	BSC3	31.62997565	12.09560538	2.61499732	NA	neither	309	0	309	0	NA	NA	NA	NA	NA	NA
YBR178W	YBR178W	26.76517864	10.2843303	2.602520326	NA	neither	375	0	375	0	NA	NA	NA	NA	NA	NA
YOL166C	YOL166C	24.43999395	9.410160781	2.597191962	NA	neither	339	0	339	0	NA	NA	NA	NA	NA	NA
YAR068W	YAR068W	93.92586999	36.22782219	2.592644667	NA	neither	486	0	486	0	0.271604938	1.19579E-06	NA	Exception	NA	0.473333333
YMR031W-A	YMR031W-A	29.28485552	11.30123226	2.591297554	NA	neither	327	0	327	0	NA	NA	NA	NA	NA	NA
YOR328W	PDR10	15200.76475	5877.312109	2.586346355	NA	neither	5668	167	4695	806	0.438977636	NA	0.0281	Exception	10.6	0.411
YKL096C-B	YKL096C-B	22.22540746	8.597695582	2.585042381	NA	neither	160	0	150	10	0.34	NA	NA	TA	NA	0.26
YML057C-A	YML057C-A	95.66742227	37.04789066	2.582263675	NA	neither	390	0	390	0	NA	NA	NA	NA	NA	NA
YFR012W	DCV1	166.6724208	64.61853135	2.57932852	NA	neither	609	0	609	0	0.428571429	NA	NA	Exception	5.7	NA
YEL049W	PAU2	93.91884898	36.44609215	2.576925081	NA	neither	363	0	363	0	0.834710744	NA	NA	SS	NA	0.476333333
YBR209W	YBR209W	58.80682774	22.8841625	2.569760976	NA	neither	318	0	318	0	NA	NA	NA	NA	NA	NA
YNL042W-B	YNL042W-B	52.80011517	20.64345879	2.5577165	NA	neither	258	0	258	0	0.430232558	NA	NA	Cytonuclear	NA	0.434
YHR214W	YHR214W	66.53720676	26.02441428	2.556722547	NA	neither	612	0	612	0	0.68627451	NA	NA	SS	NA	0.469
YGL192W	IME4	38.90920592	15.29995506	2.543092824	NA	neither	1850	0	1803	47	0.420965058	4.25129E-06	NA	Cytonuclear	NA	0.396
YIL141W	YIL141W	90.32129921	35.57480818	2.53891177	NA	neither	390	0	390	0	NA	NA	NA	NA	24.4	NA
YER184C	TOG1	6869.268546	2707.488334	2.537136895	NA	neither	2868	0	2385	483	0.431446541	NA	0.1058	Exception	10.7	0.381333333
YHL037C	YHL037C	83.07523035	32.75613601	2.53617308	NA	neither	480	0	480	0	NA	NA	NA	NA	NA	NA
YAL031W-A	YAL031W-A	40.06466823	15.81604402	2.533166206	NA	neither	309	0	309	0	NA	NA	NA	NA	NA	NA
YEL075C	YEL075C	93.15254864	36.8481353	2.528012554	NA	neither	369	0	369	0	0.471544715	NA	NA	Cytonuclear	NA	0.401333333
YKL106C-A	YKL106C-A	29.57914651	11.72129806	2.523538465	NA	neither	120	0	120	0	0.325	NA	NA	Cytonuclear	NA	0.441666667
YNL117W	MLS1	531.5307867	211.0467594	2.518545123	NA	neither	1665	0	1665	0	0.56036036	NA	NA	Cytonuclear	18.4	0.416666667
YKL071W	YKL071W	239.7062758	95.58813681	2.507699007	NA	neither	771	0	771	0	0.474708171	NA	NA	Cytonuclear	26.5	0.393333333
YPL281C	ERR2	1396.25618	557.004922	2.506721439	NA	neither	1314	0	1314	0	0.54109589	NA	NA	Cytonuclear	NA	0.465666667
YJL089W	SIP4	934.8354668	374.6544356	2.495193912	NA	neither	2490	0	2490	0	0.387951807	NA	NA	Cytonuclear	10.3	0.324666667
YLR255C	YLR255C	63.09331889	25.32940871	2.490911636	NA	neither	354	0	354	0	NA	NA	NA	NA	NA	NA
YEL010W	YEL010W	19.1335237	7.758689978	2.466076586	NA	neither	351	0	351	0	NA	NA	NA	NA	NA	NA
YOR024W	YOR024W	48.75473089	19.84711462	2.456514804	NA	neither	324	0	324	0	NA	NA	NA	NA	NA	NA
YER158W-A	YER158W-A	50.85404059	20.78847907	2.446260759	NA	neither	619	94	216	309	NA	NA	NA	NA	2.8	NA
YCL046W	YCL046W	13.96680726	5.711052857	2.445574855	NA	neither	1447	0	324	1123	NA	NA	NA	NA	NA	NA
YKL187C	FAT3	912.0325384	376.9530408	2.419485823	NA	neither	2413	0	2253	160	0.462050599	NA	NA	TMD	8.6	0.433666667
YGL235W	YGL235W	110.7265183	45.81630186	2.416749361	NA	neither	537	0	537	0	0.491620112	4.97376E-05	NA	Cytonuclear	NA	0.499333333
YAL042C-A	YAL042C-A	86.33861816	35.95288242	2.401438003	NA	neither	378	0	378	0	NA	NA	NA	NA	NA	NA
YPL062W	YPL062W	86.13616427	35.94059774	2.396625813	NA	neither	405	0	405	0	NA	NA	NA	NA	NA	NA
YBR134W	YBR134W	35.86705182	14.979432	2.394420017	NA	neither	402	0	402	0	NA	NA	NA	NA	NA	NA
YOR010C	TIR2	491.4742954	206.1003007	2.38463648	NA	neither	1155	341	756	58	0.817460317	NA	0.6255	SS	9.3	0.469333333
YML100W-A	YML100W-A	44.83887106	18.84883301	2.378867223	NA	neither	174	0	174	0	0.344827586	1.0876E-05	NA	Exception	NA	0.454333333
YML084W	YML084W	27.77134304	11.77550485	2.358399354	NA	neither	309	0	309	0	NA	8.90939E-06	NA	NA	NA	NA
YLR381W	CTF3	5447.553063	2310.767019	2.357465299	NA	neither	2318	39	2202	77	0.444141689	NA	0.2607	Exception	5.4	0.385666667
YLR417W	VPS36	9760.826414	4149.102921	2.352514893	NA	neither	1820	32	1701	87	0.428571429	NA	0.2361	Cytonuclear	9.8	0.410333333
YNL018C	YNL018C	171.982657	73.1333335	2.351631585	NA	neither	1839	0	1839	0	0.479608483	NA	NA	Cytonuclear	NA	0.44
YLR329W	REC102	180.3804814	77.06137537	2.340737893	NA	neither	892	0	892	0	0.388679245	NA	NA	Exception	10.7	0.377333333
YAR020C	PAU7	114.419481	48.9327236	2.338301909	NA	neither	168	0	168	0	0.75	NA	NA	SS	6.5	0.440333333
YBR196C-A	YBR196C-A	100.0559207	42.96961021	2.32852754	NA	neither	564	341	150	73	0.42	NA	NA	TA	9.7	0.32
YNR042W	YNR042W	34.39929745	14.80153564	2.324035714	NA	neither	429	0	429	0	NA	NA	NA	NA	NA	NA
YNL198C	YNL198C	26.92418883	11.61186422	2.318679268	NA	neither	1161	0	303	858	NA	NA	NA	NA	NA	NA
YOL160W	YOL160W	100.4861746	43.33828531	2.318646756	NA	neither	342	0	342	0	NA	NA	NA	NA	NA	NA
YPR030W	CSR2	7393.565584	3193.292788	2.315342211	NA	neither	3445	8	3366	71	0.439393939	NA	NA	Cytonuclear	11.2	0.401
YFR012W-A	YFR012W-A	78.43383502	33.87673385	2.31527146	NA	neither	87	0	87	0	0.517241379	NA	NA	Cytonuclear	NA	0.448333333
YGL249W	ZIP2	485.8082921	212.6321282	2.284736066	NA	neither	2115	0	2115	0	0.418439716	NA	NA	Cytonuclear	6.7	0.343
YPR170C	YPR170C	49.02813638	21.47289008	2.283257456	NA	neither	336	0	336	0	NA	5.92656E-06	NA	NA	NA	NA
YOR019W	YOR019W	2088.967461	915.725184	2.281216568	NA	neither	2380	47	2193	140	0.441860465	NA	0.1387	Cytonuclear	9.3	0.364666667
YGL041C-B	YGL041C-B	19.46708443	8.543066255	2.278699924	NA	neither	183	0	183	0	0.360655738	NA	NA	TA	NA	0.344333333
YER158C	YER158C	4769.850812	2093.549962	2.278355376	NA	neither	2037	192	1722	123	0.468641115	7.00348E-05	NA	Cytonuclear	3.1	0.430333333
YBR186W	PCH2	500.822605	219.8270328	2.278257585	NA	neither	1808	0	1808	0	0.391150442	NA	NA	Cytonuclear	10.1	0.377
YIL057C	RGI2	96.61534709	42.60667306	2.267610685	NA	neither	495	0	495	0	0.496969697	NA	NA	Cytonuclear	NA	0.42
YDR216W	ADR1	30211.99513	13332.38825	2.266060256	NA	neither	4138	64	3972	102	0.436555891	NA	1.5431	Exception	7.8	0.361333333
YJR157W	YJR157W	25.06203322	11.10200518	2.257433031	NA	neither	363	0	363	0	NA	NA	NA	NA	NA	NA
YPR160C-A	YPR160C-A	134.0146009	59.54539171	2.25062926	NA	neither	1039	0	285	754	NA	NA	NA	NA	7	NA
YIR020C-B	YIR020C-B	25.82061479	11.47588998	2.249988004	NA	neither	735	0	735	0	NA	NA	NA	NA	NA	NA
YIL169C	YIL169C	2696.289501	1200.503979	2.245964652	NA	neither	2988	0	2988	0	0.685742972	NA	NA	SS	7.4	0.452
YOR139C	YOR139C	52.44105266	23.4339726	2.237821711	NA	neither	393	0	393	0	NA	NA	NA	NA	NA	NA
YOL163W	YOL163W	1208.881629	542.3381289	2.229018328	NA	neither	999	137	510	352	0.405882353	NA	NA	TMD	12.2	0.415666667
YER068C-A	YER068C-A	25.49689721	11.43875502	2.22899233	NA	neither	432	0	432	0	NA	NA	NA	NA	NA	NA
YAR066W	YAR066W	61.89737827	27.78190509	2.227974578	NA	neither	612	0	612	0	0.681372549	NA	NA	SS	NA	0.469
YDR193W	YDR193W	28.47582162	12.78480355	2.227317887	NA	neither	399	0	399	0	NA	NA	NA	NA	NA	NA
YER119C-A	YER119C-A	87.80993288	39.52734998	2.2214981	NA	neither	372	0	372	0	NA	NA	NA	NA	NA	NA
YPR096C	YPR096C	50.8358931	22.94315645	2.215732313	NA	neither	313	0	303	10	0.455445545	NA	NA	Cytonuclear	7.2	0.396
YHR214W-A	YHR214W-A	98.89051875	44.70140568	2.212246287	NA	neither	486	0	486	0	NA	NA	NA	NA	NA	NA
YLR464W	YLR464W	1.417305206	0.642594637	2.205597627	NA	neither	930	0	930	0	0.437788018	NA	NA	Cytonuclear	NA	0.453
YJL027C	YJL027C	22.34278992	10.13026398	2.205548637	NA	neither	417	0	417	0	0.410071942	NA	NA	Cytonuclear	NA	0.527666667
YGL062W	PYC1	83792.10434	38032.64378	2.203162758	NA	neither	4007	235	3537	235	0.60899067	7.03606E-05	NA	Cytonuclear	NA	0.434333333
YNL277W-A	YNL277W-A	55.91514273	25.40410116	2.201028187	NA	neither	189	0	189	0	0.238095238	NA	NA	Exception	NA	0.365333333
YHR157W	REC104	347.5039793	157.9626201	2.199912734	NA	neither	834	74	549	211	0.316939891	NA	NA	Cytonuclear	20.6	0.386333333
YGR032W	GSC2	128036.9143	58373.80014	2.193396935	NA	neither	6246	473	5688	85	0.520042194	NA	1.3552	Exception	NA	0.393666667
YER096W	SHC1	885.7263458	404.5863366	2.189214676	NA	neither	1539	0	1539	0	0.446393762	NA	NA	Cytonuclear	10.4	0.403666667
YHR213W	YHR213W	27.23595759	12.45565698	2.186633562	NA	neither	597	0	597	0	0.587939698	NA	NA	Cytonuclear	NA	0.432333333
YJL064W	YJL064W	35.91515855	16.42970468	2.185989296	NA	neither	396	0	396	0	NA	NA	NA	NA	NA	NA
YDL221W	YDL221W	190.1818742	87.01757934	2.185556938	NA	neither	552	0	552	0	NA	2.81484E-06	NA	NA	8.4	NA
YJL221C	IMA4	508.2040387	232.9650939	2.181460022	NA	neither	1770	0	1770	0	0.574576271	NA	NA	Cytonuclear	NA	0.429
YPR194C	OPT2	6452.443798	2965.737756	2.17566229	NA	neither	2634	0	2634	0	0.443052392	NA	0.0578	Exception	6.5	0.373333333
YOR379C	YOR379C	228.8637131	105.221883	2.17505814	NA	neither	339	0	339	0	NA	NA	NA	NA	NA	NA
YGL214W	YGL214W	23.74535535	10.93410567	2.171677874	NA	neither	489	0	489	0	NA	NA	NA	NA	NA	NA
YDR526C	YDR526C	35.13775977	16.24131951	2.163479375	NA	neither	615	0	471	144	NA	NA	NA	NA	NA	NA
YLR437C-A	YLR437C-A	47.76339974	22.10696696	2.160558698	NA	neither	228	0	228	0	NA	NA	NA	NA	NA	NA
YDL172C	YDL172C	86.17308222	39.94502219	2.157292135	NA	neither	480	0	480	0	NA	NA	NA	NA	5.3	NA
YPR193C	HPA2	216.3806149	100.9790891	2.142825972	NA	neither	506	0	471	35	0.439490446	NA	NA	Cytonuclear	10	0.409666667
YMR306C-A	YMR306C-A	122.9575763	57.65660807	2.132584286	NA	neither	390	0	390	0	NA	NA	NA	NA	12.5	NA
YOL156W	HXT11	134.5498805	63.13981665	2.130983072	NA	neither	1704	0	1704	0	0.524647887	NA	NA	Exception	NA	0.438666667
YJL116C	NCA3	4439.939354	2084.311275	2.130170962	NA	neither	1014	0	1014	0	0.588757396	NA	NA	SS	7.7	0.445666667
YHR028W-A	YHR028W-A	13.48523511	6.346995033	2.124664513	NA	neither	321	0	321	0	NA	NA	NA	NA	NA	NA
YPR099C	YPR099C	108.1194649	50.95621389	2.121811191	NA	neither	357	0	357	0	NA	0.000196257	NA	NA	1.9	NA
YOR247W	SRL1	8258.918999	3894.226662	2.120811066	NA	neither	633	0	633	0	0.625592417	NA	4.1114	SS	9.1	0.473666667
YGR294W	PAU12	57.09787923	26.94332202	2.119184827	NA	neither	363	0	363	0	0.851239669	NA	NA	SS	7	0.490333333
YDR504C	SPG3	958.2425548	453.7431376	2.111861261	NA	neither	590	0	384	206	0.484375	NA	NA	TMD	35.3	0.263
YIL172C	IMA3	498.2514604	236.1981302	2.109464033	NA	neither	1770	0	1770	0	0.574576271	NA	NA	Cytonuclear	NA	0.429
YEL067C	YEL067C	246.3758424	116.9569779	2.10655103	NA	neither	588	0	588	0	0.413265306	NA	NA	Exception	6.9	0.438666667
YMR182C	RGM1	186.6634963	88.6181183	2.106380725	NA	neither	850	107	636	107	0.481132075	NA	NA	Cytonuclear	2.6	0.451666667
YBR284W	YBR284W	3084.084151	1472.071994	2.095063396	NA	neither	2394	0	2394	0	0.392230576	5.43018E-06	NA	Cytonuclear	9.1	0.388333333
YDR048C	YDR048C	29.53598934	14.10994389	2.093274754	NA	neither	365	0	315	50	NA	NA	NA	NA	NA	NA
YJR061W	YJR061W	7118.540055	3401.009348	2.093066889	NA	neither	2808	0	2808	0	0.417735043	NA	0.1299	Exception	13.2	0.379666667
YBR298C-A	YBR298C-A	4.539391161	2.177979144	2.084221593	NA	neither	222	0	222	0	0.378378378	NA	NA	Cytonuclear	NA	0.405
YFL041W-A	YFL041W-A	200.0183784	96.13991796	2.080492501	NA	neither	244	7	192	45	0.453125	NA	NA	Cytonuclear	31	0.390666667
YER181C	YER181C	131.0154077	63.02425863	2.078809185	NA	neither	324	0	324	0	NA	1.19589E-05	NA	NA	6.5	NA
YKR106W	GEX2	619.9838533	299.4329498	2.070526486	NA	neither	1848	0	1848	0	0.435064935	NA	NA	TMD	13.7	0.402666667
YOL019W-A	YOL019W-A	13.96930232	6.762696202	2.065640966	NA	neither	153	0	153	0	0.509803922	NA	NA	Exception	NA	0.490333333
YNR076W	PAU6	79.0362441	38.29312886	2.063979791	NA	neither	363	0	363	0	0.859504132	NA	NA	SS	NA	0.493333333
YOR041C	YOR041C	48.94369412	23.73077137	2.062456941	NA	neither	467	0	432	35	NA	NA	NA	NA	NA	NA
YPL200W	CSM4	12.01603543	5.851814254	2.053386335	NA	neither	1036	0	471	565	0.337579618	NA	NA	TA	NA	0.350333333
YDR491C	YDR491C	19.05723631	9.286893749	2.052057106	NA	neither	492	0	492	0	NA	NA	NA	NA	NA	NA
YPR123C	YPR123C	111.1339648	54.17918392	2.051229951	NA	neither	524	0	435	89	NA	NA	NA	NA	9.1	NA
YGL042C	YGL042C	20.62211998	10.07222083	2.047425322	NA	neither	306	0	306	0	NA	NA	NA	NA	NA	NA
YOL150C	YOL150C	113.2123049	55.49577019	2.040016824	NA	neither	312	0	312	0	NA	2.99344E-05	NA	NA	8.7	NA
YLR336C	SGD1	7240.889628	3563.154436	2.032157112	NA	neither	3640	11	2700	929	0.432222222	NA	0.6725	Exception	7.2	0.363666667
YCL042W	YCL042W	741.4608137	368.1113436	2.014229734	NA	neither	1223	0	360	863	0.341666667	NA	NA	Cytonuclear	8.8	0.516666667
YNR003W-A	YNR003W-A	9.851860714	4.907211166	2.007629258	NA	neither	99	0	99	0	NA	NA	NA	NA	NA	NA
YCR091W	KIN82	4206.644846	2106.830015	1.996670266	NA	neither	2356	65	2163	128	0.428571429	3.24239E-05	NA	Cytonuclear	6.8	0.399666667
YIR041W	PAU15	32.98818156	16.52344001	1.996447564	NA	neither	375	0	375	0	0.848	1.63355E-05	NA	SS	NA	0.466666667
YLR090W	XDJ1	4805.305979	2407.214717	1.996209954	NA	neither	1561	64	1380	117	0.460869565	1.21814E-05	0.3585	mito	9.5	0.439333333
YPL155C	KIP2	4900.814659	2455.298291	1.996015994	NA	neither	2121	0	2121	0	0.441301273	1.30027E-05	0.824	Cytonuclear	7.3	0.423333333
YMR135C	GID8	4524.611054	2267.035555	1.995827125	NA	neither	1495	0	1368	127	0.396929825	1.72486E-05	0.3378	Cytonuclear	12.6	0.418
YNL261W	ORC5	3860.991774	1934.946431	1.995399827	NA	neither	1901	195	1440	266	0.479166667	3.4938E-05	0.281	Cytonuclear	9.8	0.360333333
YDR363W	ESC2	2848.14912	1428.666016	1.993572386	NA	neither	2456	160	1371	925	0.437636761	NA	0.4034	Cytonuclear	5.4	0.368
YOR302W	YOR302W	1279.761034	641.9654655	1.993504484	NA	neither	270	154	78	38	0.576923077	1.26103E-05	NA	Cytonuclear	0.7	0.410333333
YNL106C	INP52	7252.225376	3639.002935	1.992915506	NA	neither	3684	0	3552	132	0.436655405	NA	0.8339	Cytonuclear	7.7	0.395
YNR075W	COS10	2014.084889	1010.859148	1.992448594	NA	neither	1125	0	1125	0	0.416	1.96968E-05	NA	TMD	11.3	0.395333333
YKL012W	PRP40	5348.22528	2684.779984	1.992053469	NA	neither	1874	26	1752	96	0.429794521	NA	0.3009	Cytonuclear	8.9	0.384333333
YOL130W	ALR1	8579.035453	4311.463296	1.989819897	NA	neither	3091	155	2580	356	0.463953488	2.48208E-05	0.462	Exception	7.6	0.418
YOR275C	RIM20	9393.711632	4722.761272	1.98902953	NA	neither	2128	26	1986	116	0.442598187	4.00803E-05	0.5698	Cytonuclear	9.9	0.369
YJL135W	YJL135W	24.63039314	12.38335811	1.988991429	NA	neither	318	0	318	0	NA	0.00012582	NA	NA	NA	NA
YPL110C	GDE1	7359.620547	3700.249546	1.98895249	NA	neither	3672	0	3672	0	0.418300654	1.38676E-05	0.9411	Cytonuclear	8	0.381
YOL075C	YOL075C	5393.663532	2712.127953	1.988720158	NA	neither	4106	25	3885	196	0.426254826	NA	0.3378	TMD	9.7	0.382
YGL083W	SCY1	4980.47626	2506.370556	1.987126863	NA	neither	2626	108	2415	103	0.454658385	NA	2.698	Cytonuclear	6.2	0.371
YFL015W-A	YFL015W-A	43.49900266	21.89235817	1.986949159	NA	neither	318	0	318	0	NA	NA	NA	NA	NA	NA
YIL132C	CSM2	621.0440678	312.6297933	1.98651594	NA	neither	684	0	642	42	0.429906542	NA	NA	Cytonuclear	5.6	0.377
